Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
119,"ACM Fioravanti, L de Faria Santos, S Maissonette…","Avaliação da estrutura fatorial da Escala de Ansiedade-Traço do IDATE",2006,"… Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027180011.pdf","https://scholar.google.com/scholar?cites=11887332698921967672&as_sdt=2005&sciodt=2007&hl=en",8,"2022-08-23 11:14:09","PDF","","","",,,,,119,7.44,30,4,16,"RESUMO O Inventário de Ansiedade Traço-Estado (IDATE) apresenta duas escalas que avaliam a ansiedade enquanto estado (IDATE-E) ou traço (IDATE-T). Estudos realizados …","https://www.redalyc.org/pdf/3350/335027180011.pdf","https://scholar.google.com/scholar?q=related:OCAhnhtK-KQJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
118,"LGG Siqueira, SM Wechsler","Motivação para a aprendizagem escolar: possibilidade de medida",2006,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027179004.pdf","https://scholar.google.com/scholar?cites=7832328906679361746&as_sdt=2005&sciodt=2007&hl=en",9,"2022-08-23 11:14:09","PDF","","","",,,,,118,7.38,59,2,16,"Este estudo objetivou construir e validar um instrumento psicológico para avaliar a motivação para a aprendizagem escolar. A amostra foi composta por 655 estudantes …","https://www.redalyc.org/pdf/3350/335027179004.pdf","https://scholar.google.com/scholar?q=related:0qClpqQFsmwJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
118,"L de Oliveira Borges, JCT Argolo","Adaptação e validação de uma escala de bem-estar psicológico para uso em estudos ocupacionais",2002,"Avaliação Psicológica …","dialnet.unirioja.es","https://dialnet.unirioja.es/servlet/articulo?codigo=5115855","https://scholar.google.com/scholar?cites=18086875601787322953&as_sdt=2005&sciodt=2007&hl=en",386,"2022-08-23 11:14:09","","","","",,,,,118,5.90,59,2,20,"O objetivo deste estudo foi adaptar e avaliar a estrutura fatorial do QSG-12–Questionário de Saúde Geral. Tal questionário mensura deteriorações menores em saúde mental e é …","https://dialnet.unirioja.es/descarga/articulo/5115855.pdf","https://scholar.google.com/scholar?q=related:SYI2DYh9AfsJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
114,"M García-Méndez, S Rivera-Aragón…","Construcción de una escala de funcionamiento familiar",2006,"… e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645449006.pdf","https://scholar.google.com/scholar?cites=16167887911324560406&as_sdt=2005&sciodt=2007&hl=en",303,"2022-08-23 11:14:09","PDF","","","",,,,,114,7.13,38,3,16,"El funcionamiento familiar es un proceso que involucra al individuo, la familia y la cultura. Con el propósito de evaluar la percepción global del funcionamiento familiar, se elaboró …","https://www.redalyc.org/pdf/4596/459645449006.pdf","https://scholar.google.com/scholar?q=related:FizV6mTgX-AJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
110,"CT Reppold, LG Gurgel, CS Hutz","El proceso de construcción delas escalas psicométricas",2014,"Avaliação Psicológica","pepsic.bvsalud.org","http://pepsic.bvsalud.org/scielo.php?pid=S1677-04712014000200018&script=sci_abstract&tlng=es","https://scholar.google.com/scholar?cites=12289011081443513821&as_sdt=2005&sciodt=2007&hl=en",19,"2022-08-23 11:14:09","","","","",,,,,110,13.75,37,3,8,"O processo de construção de escalas psicométricas Page 1 307 Avaliação Psicológica, 2014, 13(2), pp. 307-310 NOTA TÉCNICA O processo de construção de escalas …","http://pepsic.bvsalud.org/pdf/avp/v13n2/v13n2a18.pdf","https://scholar.google.com/scholar?q=related:3ZVH9ndWi6oJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
103,"SAJ Polydoro, DC Guerreiro-Casanova","Escala de auto-eficácia na formação superior: construção e estudo de validação",2010,"Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027283011.pdf","https://scholar.google.com/scholar?cites=8689652137859781880&as_sdt=2005&sciodt=2007&hl=en",10,"2022-08-23 11:14:09","PDF","","","",,,,,103,8.58,52,2,12,"RESUMO O artigo dedica-se à apresentação do processo de construção e busca de evidência de validade da escala Auto-eficácia na Formação Superior que avalia as crenças …","https://www.redalyc.org/pdf/3350/335027283011.pdf","https://scholar.google.com/scholar?q=related:-JTYYpTYl3gJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
99,"E Pérez, M Cupani, S Ayllón","Predictores de rendimiento académico en la escuela media: habilidades, autoeficacia y rasgos de personalidad",2005,"Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027178002.pdf","https://scholar.google.com/scholar?cites=3710398775566319362&as_sdt=2005&sciodt=2007&hl=en",11,"2022-08-23 11:14:09","PDF","","","",,,,,99,5.82,33,3,17,"El papel de las aptitudes y las creencias de autoeficacia en la predicción del rendimiento académico ha sido bien establecido. Por otra parte, la evidencia es mixta respecto al rol de …","https://www.redalyc.org/pdf/3350/335027178002.pdf","https://scholar.google.com/scholar?q=related:Ar-sIAf8fTMJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
99,"T de Cássia Nakano, SM Wechsler","Criatividade: características da produção científica brasileira",2007,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027182003.pdf","https://scholar.google.com/scholar?cites=7766652398251030327&as_sdt=2005&sciodt=2007&hl=en",13,"2022-08-23 11:14:09","PDF","","","",,,,,99,6.60,50,2,15,"Este estudo teve como objetivo identificar as características da produção científica brasileira em criatividade, a partir da revisão das teses, dissertações e publicações periódicas …","https://www.redalyc.org/pdf/3350/335027182003.pdf","https://scholar.google.com/scholar?q=related:Nzew6zSxyGsJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
88,"M Dufey, AM Fernandez","Validez y confiabilidad del Positive Affect and Negative Affect Schedule (PANAS) en estudiantes universitarios chilenos",2012,"… y Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645438008.pdf","https://scholar.google.com/scholar?cites=7127775448480103542&as_sdt=2005&sciodt=2007&hl=en",328,"2022-08-23 11:14:09","PDF","","","",,,,,88,8.80,44,2,10,"El presente estudio está dirigido a evaluar las propiedades psicométricas del Positive Affect and Negative Affect Schedule (PANAS; Watson, Clark, & Tellegen, 1988), una de las …","https://www.redalyc.org/pdf/4596/459645438008.pdf","https://scholar.google.com/scholar?q=related:djxofQHy6mIJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
86,"LA Medrano, L Moretti, A Ortiz","Medición del engagement académico en estudiantes universitarios",2015,"… y Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645432012.pdf","https://scholar.google.com/scholar?cites=4169734173019486370&as_sdt=2005&sciodt=2007&hl=en",315,"2022-08-23 11:14:09","PDF","","","",,,,,86,12.29,29,3,7,"Durante los últimos años investigadores y educadores han mostrado un interés creciente por la Psicología Educacional Positiva, un modelo de abordaje centrado en el estudio y la …","https://www.redalyc.org/pdf/4596/459645432012.pdf","https://scholar.google.com/scholar?q=related:ojiiXiPf3TkJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
85,"JL Wathier, DD Dell'Aglio, DR Bandeira","Análise fatorial do Inventário de Depressão Infantil (CDI) em amostra de jovens brasileiros",2008,"Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027183010.pdf","https://scholar.google.com/scholar?cites=13743708748804148469&as_sdt=2005&sciodt=2007&hl=en",21,"2022-08-23 11:14:09","PDF","","","",,,,,85,6.07,28,3,14,"Este estudo explora a estrutura fatorial de uma adaptação para a língua portuguesa do Inventário de Depressão Infantil (CDI). A amostra foi composta por 951 crianças e …","https://www.redalyc.org/pdf/3350/335027183010.pdf","https://scholar.google.com/scholar?q=related:9UzmLEp2u74J:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
82,"DA DeSousa, AL Moreno, G Gauer, GG Manfro…","Revisão sistemática de instrumentos para avaliação de ansiedade na população brasileira",2013,"… psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335030096015.pdf","https://scholar.google.com/scholar?cites=17839041703239671156&as_sdt=2005&sciodt=2007&hl=en",1,"2022-08-23 11:14:09","PDF","","","",,,,,82,9.11,16,5,9,"RESUMO O objetivo deste estudo foi realizar uma revisão sistemática dos instrumentos para a avaliação de sintomas ansiosos e Transtornos de Ansiedade (TA) disponíveis no …","https://www.redalyc.org/pdf/3350/335030096015.pdf","https://scholar.google.com/scholar?q=related:dN367ukBkfcJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
80,"AR Palencia, SR Aragón, RD Loving","Desarrollo del inventario multidimensional de infidelidad (IMIN)",2007,"… -e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645446008.pdf","https://scholar.google.com/scholar?cites=13206957189221500049&as_sdt=2005&sciodt=2007&hl=en",332,"2022-08-23 11:14:09","PDF","","","",,,,,80,5.33,27,3,15,"La infidelidad es un fenómeno que ocurre en gran parte de la población universal, sea o no descubierta (Fisher, 1992). Dado su impacto en las relaciones tradicionales de pareja, es …","https://www.redalyc.org/pdf/4596/459645446008.pdf","https://scholar.google.com/scholar?q=related:kcRWE5eJSLcJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
77,"V Schmidt, N Messoulam, F Molina","Autoconcepto académico en adolescentes de escuelas medias: presentación de un instrumento para su evaluación",2008,"… -e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645445005.pdf","https://scholar.google.com/scholar?cites=15401631752943335299&as_sdt=2005&sciodt=2007&hl=en",333,"2022-08-23 11:14:09","PDF","","","",,,,,77,5.50,26,3,14,"En este artículo se presenta una prueba de Autoconcepto Académico. La misma ha sido íntegramente construida y validada en nuestro medio, y sigue la perspectiva del …","https://www.redalyc.org/pdf/4596/459645445005.pdf","https://scholar.google.com/scholar?q=related:g3eQW3qWvdUJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
77,"I Cuéllar-Flores, V Dresch","Validación del cuestionario de Apoyo Social Funcional Duke-UNK-11 en personas cuidadoras",2012,"… y Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645438004.pdf","https://scholar.google.com/scholar?cites=7778286614828173649&as_sdt=2005&sciodt=2007&hl=en",334,"2022-08-23 11:14:09","PDF","","","",,,,,77,7.70,39,2,10,"El apoyo social se considera una variable mediadora fundamental en el proceso de estrés de las personas cuidadoras. El cuestionario de Apoyo Social Funcional Duke-UNC-11 …","https://www.redalyc.org/pdf/4596/459645438004.pdf","https://scholar.google.com/scholar?q=related:UUkCDncG8msJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
77,"MR Simões","Instrumentos de avaliação psicológica de pessoas idosas: investigação e estudos de validação em Portugal",2012,"… de Diagnóstico y Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645438001.pdf","https://scholar.google.com/scholar?cites=2416467374067175234&as_sdt=2005&sciodt=2007&hl=en",335,"2022-08-23 11:14:09","PDF","","","",,,,,77,7.70,77,1,10,"RESUMO A tendência para o envelhecimento demográfico da população e o concomitante aumento da demência e outras doenças neurodegenerativas, que constitui o principal …","https://www.redalyc.org/pdf/4596/459645438001.pdf","https://scholar.google.com/scholar?q=related:Qk-YEkYEiSEJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
76,"AC Solano","Las rutas de acceso al bienestar. Relaciones entre bienestar hedónico y eudaemónico. Un estudio en población argentina",2011,"… de Diagnóstico y Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645439003.pdf","https://scholar.google.com/scholar?cites=13616570472470913030&as_sdt=2005&sciodt=2007&hl=en",337,"2022-08-23 11:14:09","PDF","","","",,,,,76,6.91,76,1,11,"El presente trabajó tuvo como objetivo el diseño y la validación de un instrumento para evaluar las tres rutas de acceso al componente cognitivo del bienestar con el propósito de …","https://www.redalyc.org/pdf/4596/459645439003.pdf","https://scholar.google.com/scholar?q=related:BqCzdrPG97wJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
74,"JD Segabinazi, M Zortea, C Zanon, DR Bandeira…","Escala de afetos positivos e negativos para adolescentes: adaptação, normatização e evidências de validade",2012,"… Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027499002.pdf","https://scholar.google.com/scholar?cites=101073589849088590&as_sdt=2005&sciodt=2007&hl=en",15,"2022-08-23 11:14:09","PDF","","","",,,,,74,7.40,15,5,10,"El objetivo de este estudio fue adaptar una escala de afectos positivos y negativos para adolescentes. Participaron 425 estudiantes con edades entre 14 y 19 anos. Las escalas …","https://www.redalyc.org/pdf/3350/335027499002.pdf","https://scholar.google.com/scholar?q=related:TuIg--QVZwEJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
74,"DB Yates, CM Trentini, SD Tosi, SK Corrêa…","Apresentação da escala de inteligência Wechsler abreviada (WASI)",2006,"… Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027180012.pdf","https://scholar.google.com/scholar?cites=5035734935709972382&as_sdt=2005&sciodt=2007&hl=en",22,"2022-08-23 11:14:09","PDF","","","",,,,,74,4.63,15,5,16,"Ao desenvolver sua bateria de testes, David Wechsler propôs o conceito de inteligência como uma entidade global e ao mesmo tempo única (razão pela qual utilizou o escore de …","https://www.redalyc.org/pdf/3350/335027180012.pdf","https://scholar.google.com/scholar?q=related:nncEWj6G4kUJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
74,"M Menezes, CLOO Moré, RM Cruz","O desenho como instrumento de medida de processos psicológicos em crianças hospitalizadas",2008,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027184010.pdf","https://scholar.google.com/scholar?cites=13589259384474770691&as_sdt=2005&sciodt=2007&hl=en",25,"2022-08-23 11:14:09","PDF","","","",,,,,74,5.29,25,3,14,"Os estudos sobre o desenho infantil geralmente estão associados à investigação da inteligência, motricidade ou à sua utilização como instrumento projetivo da personalidade …","https://www.redalyc.org/pdf/3350/335027184010.pdf","https://scholar.google.com/scholar?q=related:Ax1DRGm_lrwJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
72,"II de Lima Argimon","Aspectos cognitivos em idosos",2006,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027180015.pdf","https://scholar.google.com/scholar?cites=12942887681591940803&as_sdt=2005&sciodt=2007&hl=en",26,"2022-08-23 11:14:09","PDF","","","",,,,,72,4.50,72,1,16,"Nos1 últimos anos, os países em desenvolvimento se deparam com o envelhecimento da população. Em termos sócio-demográficos, isto pode ser explicado pela queda nas taxas …","https://www.redalyc.org/pdf/3350/335027180015.pdf","https://scholar.google.com/scholar?q=related:wxYRpcVfnrMJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
71,"E Boruchovitch","Escala de motivação para aprender de universitários (EMA-U): propriedades psicométricas",2008,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027184003.pdf","https://scholar.google.com/scholar?cites=8703624196499093145&as_sdt=2005&sciodt=2007&hl=en",23,"2022-08-23 11:14:09","PDF","","","",,,,,71,5.07,71,1,14,"RESUMO O presente trabalho teve como objetivo o exame das propriedades psicométricas de uma escala de motivação para aprender destinada a alunos universitários. A escala foi …","https://www.redalyc.org/pdf/3350/335027184003.pdf","https://scholar.google.com/scholar?q=related:mbbSyhd8yXgJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
71,"IS Ribeiro, LS Almeida, C Gomes","Conhecimentos prévios, sucesso escolar e trajectórias de aprendizagem: do 1o para o 2o ciclo do ensino básico",2006,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027180002.pdf","https://scholar.google.com/scholar?cites=15728299238659973369&as_sdt=2005&sciodt=2007&hl=en",28,"2022-08-23 11:14:09","PDF","","","",,,,,71,4.44,24,3,16,"RESUMO O sucesso escolar é um fenómeno complexo e multideterminado. Os conhecimentos prévios assumem papel relevante na sua explicação. Outras variáveis de …","https://www.redalyc.org/pdf/3350/335027180002.pdf","https://scholar.google.com/scholar?q=related:-eBfUdMkRtoJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
70,"MGM Perassinoto, E Boruchovitch, JA Bzuneck","Estratégias de aprendizagem e motivação para aprender de alunos do Ensino Fundamental",2013,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335030096010.pdf","https://scholar.google.com/scholar?cites=17584020892564454766&as_sdt=2005&sciodt=2007&hl=en",16,"2022-08-23 11:14:09","PDF","","","",,,,,70,7.78,23,3,9,"Este trabalho teve por objetivos avaliar a frequência de uso de estratégias de aprendizagem, identificar a motivação para aprender e explorar a relação entre essas duas …","https://www.redalyc.org/pdf/3350/335030096010.pdf","https://scholar.google.com/scholar?q=related:bv1ZcNb9BvQJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
70,"J Wachelke, J Natividade, A de Andrade…","Caracterização e avaliação de um procedimento de coleta de dados online (CORP)",2014,"… Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335030683017.pdf","https://scholar.google.com/scholar?cites=14350898981742118728&as_sdt=2005&sciodt=2007&hl=en",17,"2022-08-23 11:14:09","PDF","","","",,,,,70,8.75,18,4,8,"RESUMO É crescente a popularização de coletas de dados online em psicologia como estratégia de pesquisa, especialmente para experimentos e levantamentos de dados com …","https://www.redalyc.org/pdf/3350/335030683017.pdf","https://scholar.google.com/scholar?q=related:SAdB7paiKMcJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
